opportunity_reference,account_name,opportunity_name,project_type,stage,probability,estimated_value,expected_close_date,sales_owner,technical_owner,customer_budget,competitors,next_step,next_action_date,status,notes
SS-26-0109,Fahss,Force Guage| Door Pressure Measuring Device,New,Qualification,90,111.0,2026-09-01,Abdelaziz Abdelsadek,Abdelaziz,0,,,2026-09-01,Open,"Business Unit: Trading | End User: Fahss | Industry: Materials | Original Stage: Budgetary | Forecast GM: 30.0% / 3,000.00 | Delivery: 2026-07-29 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0108,SE,Rehabilitation of 18 Continuous Emission Monitoring Systems,New,Proposal,70,0.0,2026-12-01,Shady Moussa,Rania,0,,,2026-12-01,Open,Business Unit: Trading | End User: SE QCCPP | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 0.00 | Delivery: 2026-07-22 | Must Win: Yes | Quality: Gross value missing
SS-26-0107,ZOMCO,Supply & Install USM Spare Parts,New,Awarded,90,146298.1,2026-07-01,Shady Moussa,Nishar,0,,,2026-07-01,Won,"Business Unit: Trading | End User: SEC | Industry: Oil & Gas | Original Stage: Won | Forecast GM: 20.0% / 210,000.00 | Delivery: 2026-07-16 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0105,Tamkeen advanced,RFP6500000953 - UPGRADE VIBRATION MEASUREMENT,New,Qualification,70,0.0,2026-12-01,Shady Moussa,Bahaa,0,,Sale: Bahaa + Shady,2026-12-01,Open,Business Unit: Trading | End User: SEC - Rabigh | Industry: Power & Water | Original Stage: Budgetary | Forecast GM: 20.0% / 0.00 | Delivery: 2026-06-30 | Must Win: Yes | Quality: Gross value missing
SS-26-0106,Fahss,Battery-Powered GPS Data Logger,New,Proposal,90,100.0,2026-10-01,Abdelaziz Abdelsadek,abdelaziz,0,,,2026-10-01,Open,"Business Unit: Trading | End User: Al Madina Amana | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 15.0% / 1,000.00 | Delivery: 2026-12-31 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0104,ASHOMCO,ASHOMCo RFQ - TOMCO - PR00325 - Saudi Sensing,New,Proposal,90,60000.0,2025-10-01,Shady Moussa,Imran,0,,,2025-10-01,Open,"Business Unit: Trading | End User: Aramco - Tanajib | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 12,500.00 | Delivery: 2026-06-25 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0090,Natural Gas Distribution Company,PURM300394 // RFQ -Case 11820490,New,Proposal,70,9300.0,2026-11-01,Shady Moussa,Nishar,0,,,2026-11-01,Open,"Business Unit: Trading | End User: Natural Gas Distribution Company | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 25.0% / 1,910.00 | Delivery: 2026-05-05 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
SS-26-0103,trillium flow,VMS and Machinery Health Asset Reliabilty Check,New,Proposal,90,0.0,2026-06-01,Bahaa Abusaqer,Bahaa Abusaqer,0,,,2026-06-01,Open,"Business Unit: Project | End User: WTTCO Jubail Riyadh PS1 | Industry: Oil & Gas | Original Stage: Firm | Forecast GM: 30.0% / 100,000.00 | Delivery: 2026-06-17 | Must Win: Yes | Quality: Gross value missing"
SS-26-0102,Paper Life Factories,Paper Life Factories MES,New,Qualification,90,120000.0,2026-12-01,Abdelaziz Abdelsadek,syed omran,0,,,2026-12-01,Open,"Business Unit: Service | End User: Paper Life Factories | Industry: Materials | Original Stage: Budgetary | Forecast GM: 10.0% / 12,000.00 | Delivery: 2026-06-11 | Must Win: Yes"
SS-26-0101,NGC Energy Saudi Company LLC,Supply Gas Regulator,New,Awarded,70,21000.0,2026-08-01,Shady Moussa,Nishar,0,,,2026-08-01,Won,"Business Unit: Trading | End User: Crown Paper Mill | Industry: Oil & Gas | Original Stage: Won | Forecast GM: 25.0% / 4,524.01 | Delivery: 2026-06-01 | Must Win: Yes | Quality: Source GM value differs materially from Gross × GM %"
