account_name,account_type,industry,city,country,website,main_phone,owner,status,notes
Fahss,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
SE,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
ZOMCO,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Tamkeen advanced,Prospect / Customer,Power & Water,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
ASHOMCO,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Natural Gas Distribution Company,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
trillium flow,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Bahaa Abusaqer,Active,Migrated from pipeline; Customer Name
Paper Life Factories,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
NGC Energy Saudi Company LLC,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
GulfNet Solutions Company Limited (GNS),Prospect / Customer,Power & Water,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Aramco,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
First Gas,Prospect / Customer,Petrochemical,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Arrazi-sabic,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Rania Alamin,Active,Migrated from pipeline; Customer Name
el sewedy,Prospect / Customer,Chemical,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
AJ corporation,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
Abdul Latif Jameel,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
MGC,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Khaled Abdulrahman Al-Hathal Contracting Est.,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
Maaden,Prospect / Customer,Materials,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
Sinopec,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Basith Ahmed,Active,Migrated from pipeline; Customer Name
Civil Works Company,Prospect / Customer,Power & Water,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
SEC,Prospect / Customer,Power & Water,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Riyadh Aletqan Co.,Prospect / Customer,Chemical,,Saudi Arabia,,,Bahaa Abusaqer,Active,Migrated from pipeline; Customer Name
Sessco Basheer,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
Al-Hatha Company,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
zamel cranes,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
Technology Products and Services Co. (TPS),Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
Aramco Wusta and Ghazlan,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Hussain Al Haydar,Active,Migrated from pipeline; Customer Name
Marafiq,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
Sipchem,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Mohammed Nishar,Active,Migrated from pipeline; Customer Name
National Water Works Co,Prospect / Customer,Food & Beverage,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
SAUDI MODERN FOODS FACTORY,Prospect / Customer,Food & Beverage,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
zamil cranes,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
Qiddya,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
AL Babteen Plastic,Prospect / Customer,Materials,,Saudi Arabia,,,Abdelaziz Abdelsadek,Active,Migrated from pipeline; Customer Name
Hadeed,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
